음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),
아이스 자몽 허니 블랙 티,355,125,0,30,0,0,0,0,4.3,0,0,0,0,0,0,스타벅스
토마토 라임 그린 티,355,150,0,31,0,1,0,0,0,0,0,0,0,0,0,스타벅스
그린 티 라떼,355,260,0,29,0,10,0,0,170,0,0,0,0,0,0,스타벅스
아이스 그린 티 라떼,355,200,0,24,0,7,0,0,120,0,0,0,0,0,0,스타벅스
아이스 얼 그레이 티 라떼,355,60,0,13,0,2,0,0,30,0,0,0,0,0,0,스타벅스
아이스 제주 말차샷 라떼,355,185,0,22,0,7,0,0,110,0,0,0,0,0,0,스타벅스
아이스 차이 티 라떼,355,190,0,31,0,5,0,0,70,0,0,0,0,0,0,스타벅스
얼그레이 티 라떼,355,100,0,19,0,5,0,0,100,0,0,0,0,0,0,스타벅스
제주 말차샷 라떼,355,250,0,27,0,10,0,0,160,0,0,0,0,0,0,스타벅스
차이 티 라떼,355,200,0,31,0,6,0,0,70,0,0,0,0,0,0,스타벅스
아이스 제주 노랑 고구마 라떼,355,410,0,46,0,16,0,0,140,0,0,0,0,0,0,스타벅스
제주 노랑 고구마 라떼,355,365,0,46,0,16,0,0,160,0,0,0,0,0,0,스타벅스
시그니처 핫 초콜릿,355,435,0,37,0,12,0,0,114,0,0,0,0,0,0,스타벅스
아이스 시그니처 초콜릿,355,435,0,37,0,12,0,0,114,0,0,0,0,0,0,스타벅스
부산 레드 온더 비치,355,175,0,28,0,0,0,0,0,0,0,0,0,0,0,스타벅스
스팀 우유,355,215,0,18,0,13,0,0,173,0,0,0,0,0,0,스타벅스
아이스 라임 플로터,355,110,0,27,0,0.3,0,0,6.5,0,0,0,0,0,0,스타벅스
아이스 오렌지 플로터,355,100,0,22,0,0.6,0,0,7,0,0,0,0,0,0,스타벅스
아이스 와일드 베리 플로터,355,130,0,28,0,1,0,0,9,0,0,0,0,0,0,스타벅스
아이스 제주 까망 라떼,355,225,0,13,0,8,0,0,130,0,0,0,0,0,0,스타벅스
우유,355,240,0,18,0,12,0,0,200,0,0,0,0,0,0,스타벅스
제주 까망 라떼,355,225,0,18,0,10,0,0,170,0,0,0,0,0,0,스타벅스
제주 쑥쑥 라떼,355,425,0,50,0,16,0,0,210,0,0,0,0,0,0,스타벅스
넛츠 바닐라 아포가토,165,282,0,15,0,6,0,0,37,0,0,0,0,0,0,스타벅스
넛츠 초콜릿 아포가토,165,401,0,23,0,10,0,0,81,0,0,0,0,0,0,스타벅스
바닐라 아포가토,150,180,0,15,0,3,0,0,37,0,0,0,0,0,0,스타벅스
자바 칩 바닐라 아포가토,160,215,0,19,0,3,0,0,52,0,0,0,0,0,0,스타벅스
자바 칩 초콜릿 아포가토,160,334,0,27,0,7,0,0,96,0,0,0,0,0,0,스타벅스
초콜릿 아포가토,150,299,0,23,0,7,0,0,81,0,0,0,0,0,0,스타벅스
연유 카페라떼 HOT,370,330,0,33,0,9,0,0,147,0,0,0,0,0,0,이디야커피
연유 카페라떼 ICED,400,280,0,29,0,6,0,0,107,0,0,0,0,0,0,이디야커피
연유 콜드브루,370,282,0,29,0,6,0,0,107,0,0,0,0,0,0,이디야커피
흑당 라떼,370,243,0,41,0,5,0,0,85,0,0,0,0,0,0,이디야커피
(EX)흑당 라떼,630,388,0,65,0,8,0,0,140,0,0,0,0,0,0,이디야커피
흑당 콜드브루,370,248,0,41,0,5,0,0,85,0,0,0,0,0,0,이디야커피
(EX)흑당 콜드브루,630,397,0,65,0,9,0,0,140,0,0,0,0,0,0,이디야커피
버블 흑당 라떼,370,266,0,39,0,4,0,0,79,0,0,0,0,0,0,이디야커피
(EX)버블 흑당 라떼,630,430,0,64,0,8,0,0,149,0,0,0,0,0,0,이디야커피
버블 흑당 콜드브루,370,271,0,39,0,5,0,0,79,0,0,0,0,0,0,이디야커피
(EX)버블 흑당 콜드브루,630,439,0,64,0,9,0,0,149,0,0,0,0,0,0,이디야커피
이디야 콤부차 복숭아망고,370,128,0,29,0,0,0,0,20,0,0,0,0,0,0,이디야커피
이디야 콤부차 청포도레몬,370,120,0,26,0,0,0,0,4,0,0,0,0,0,0,이디야커피
이디야 사과주스,370,115,0,26,0,0,0,0,11,0,0,0,0,0,0,이디야커피
버블 크림 밀크티,370,315,0,33,0,6,0,0,111,0,0,0,0,0,0,이디야커피
버블 베리 밀크티,370,299,0,31,0,6,0,0,110,0,0,0,0,0,0,이디야커피
버블 밀크티 쉐이크,400,649,0,52,0,30,0,0,158,0,0,0,0,0,0,이디야커피
버블 베리 쉐이크,400,633,0,50,0,30,0,0,157,0,0,0,0,0,0,이디야커피
라이언 망고후르츠,370,290,0,59,0,0,0,0,58,0,0,0,0,0,0,이디야커피
어피치 애플허니,370,255,0,60,0,0,0,0,15,0,0,0,0,0,0,이디야커피
콜드브루 아메리카노,370,6,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
아포가토 오리지널,370,166,0,16,0,4,0,0,35,0,0,0,0,0,0,이디야커피
아포가토 콜드브루 바닐라 모카,370,228,0,29,0,4,0,0,40,0,0,0,0,0,0,이디야커피
(EX) 선셋 펀치,630,168,0,38,0,0,0,0,12,0,0,0,0,0,0,이디야커피
선셋 펀치,370,112,0,26,0,0,0,0,8,0,0,0,0,0,0,이디야커피
선라이즈 펀치,370,140,0,28,0,0,0,0,3,0,0,0,0,0,0,이디야커피
(EX) 선라이즈 펀치,630,209,0,41,0,0,0,0,4,0,0,0,0,0,0,이디야커피
오션 펀치,370,122,0,30,0,0,0,0,5,0,0,0,0,0,0,이디야커피
(EX) 오션 펀치,630,183,0,44,0,0,0,0,8,0,0,0,0,0,0,이디야커피
(EX) ICED 석류애플라임,630,312,0,63,0,0,0,0,15,0,0,0,0,0,0,이디야커피
자몽네이블오렌지,370,136,0,30,0,0,0,0,10,0,0,0,0,0,0,이디야커피
유자피나콜라다,370,104,0,25,0,0,0,0,5,0,0,0,0,0,0,이디야커피
석류애플라임,370,136,0,32,0,0,0,0,10,0,0,0,0,0,0,이디야커피
(EX)ICED 자몽네이블 오렌지,630,322,0,72,0,1,0,0,4,0,0,0,0,0,0,이디야커피
(EX)ICED 유자피나콜라다,630,290,0,67,0,1,0,0,2,0,0,0,0,0,0,이디야커피
꿀복숭아 플랫치노,400,225,0,49,0,0,0,0,9,0,0,0,0,0,0,이디야커피
콜드브루 라떼,370,128,0,9,0,6,0,0,95,0,0,0,0,0,0,이디야커피
콜드브루 화이트 비엔나,370,289,0,33,0,7,0,0,137,0,0,0,0,0,0,이디야커피
니트로커피,370,12,0,0,0,1,0,0,0,0,0,0,0,0,0,이디야커피
ICED 브라우니 쇼콜라,400,503,0,42,0,9,0,0,262,0,0,0,0,0,0,이디야커피
HOT 브라우니 쇼콜라,370,503,0,42,0,9,0,0,299,0,0,0,0,0,0,이디야커피
제주청귤 오리지널,370,218,0,51,0,0,0,0,4,0,0,0,0,0,0,이디야커피
제주청귤 블라썸,370,202,0,46,0,1,0,0,5,0,0,0,0,0,0,이디야커피
석류 오리지널,370,176,0,31,0,0,0,0,10,0,0,0,0,0,0,이디야커피
석류 애플라임,370,186,0,32,0,0,0,0,12,0,0,0,0,0,0,이디야커피
HOT 레몬 스윗플럼,370,229,0,45,0,1,0,0,10,0,0,0,0,0,0,이디야커피
자몽 네이블 오렌지,370,196,0,43,0,0,0,0,6,0,0,0,0,0,0,이디야커피
HOT 유자 피나콜라다,370,197,0,43,0,0,0,0,3,0,0,0,0,0,0,이디야커피
HOT 에스프레소,370,8,0,0,0,1,0,0,0,0,0,0,0,0,0,이디야커피
HOT 에스프레소 마끼아또,370,14,0,0,0,1,0,0,5,0,0,0,0,0,0,이디야커피
HOT 에스프레소 콘파냐,370,47,0,2,0,1,0,0,8,0,0,0,0,0,0,이디야커피
ICED 카페 아메리카노,400,8,0,0,0,1,0,0,0,0,0,0,0,0,0,이디야커피
HOT 카페 아메리카노,370,8,0,0,0,1,0,0,0,0,0,0,0,0,0,이디야커피
(EX)ICED 카페 아메리카노,630,16,0,0,0,1,0,0,1,0,0,0,0,0,0,이디야커피
(EX)HOT 카페 아메리카노,630,16,0,0,0,1,0,0,1,0,0,0,0,0,0,이디야커피
ICED 카페 라떼,400,108,0,7,0,5,0,0,80,0,0,0,0,0,0,이디야커피
(EX)ICED 카페 라떼,630,184,0,12,0,9,0,0,136,0,0,0,0,0,0,이디야커피
HOT 카페 라떼,370,164,0,11,0,8,0,0,125,0,0,0,0,0,0,이디야커피
(EX)HOT 카페 라떼,630,321,0,22,0,16,0,0,246,0,0,0,0,0,0,이디야커피
ICED 카푸치노,400,124,0,8,0,6,0,0,91,0,0,0,0,0,0,이디야커피
HOT 카푸치노,370,136,0,9,0,7,0,0,101,0,0,0,0,0,0,이디야커피
ICED 카페 모카,400,294,0,24,0,6,0,0,100,0,0,0,0,0,0,이디야커피
HOT 카페 모카,370,322,0,26,0,8,0,0,133,0,0,0,0,0,0,이디야커피
(EX)ICED 카페 모카,630,417,0,38,0,10,0,0,147,0,0,0,0,0,0,이디야커피
(EX)HOT 카페 모카,630,542,0,47,0,16,0,0,247,0,0,0,0,0,0,이디야커피
ICED 카라멜 마끼아또,400,167,0,20,0,5,0,0,123,0,0,0,0,0,0,이디야커피
HOT 카라멜 마끼아또,370,217,0,24,0,8,0,0,163,0,0,0,0,0,0,이디야커피
(EX)ICED 카라멜 마끼아또,630,275,0,35,0,8,0,0,165,0,0,0,0,0,0,이디야커피
(EX)HOT 카라멜 마끼아또,630,412,0,45,0,15,0,0,275,0,0,0,0,0,0,이디야커피
ICED 바닐라 라떼,400,168,0,15,0,6,0,0,79,0,0,0,0,0,0,이디야커피
HOT 바닐라 라떼,370,218,0,18,0,8,0,0,119,0,0,0,0,0,0,이디야커피
(EX)ICED 바닐라 라떼,630,298,0,26,0,10,0,0,127,0,0,0,0,0,0,이디야커피
(EX)HOT 바닐라 라떼,630,435,0,36,0,17,0,0,237,0,0,0,0,0,0,이디야커피
ICED 화이트 초콜릿 모카,400,310,0,29,0,5,0,0,122,0,0,0,0,0,0,이디야커피
HOT 화이트 초콜릿 모카,370,346,0,32,0,8,0,0,163,0,0,0,0,0,0,이디야커피
ICED 민트모카,400,335,0,28,0,6,0,0,119,0,0,0,0,0,0,이디야커피
HOT 민트 모카,370,360,0,30,0,8,0,0,150,0,0,0,0,0,0,이디야커피
ICED 초콜릿,400,321,0,26,0,6,0,0,143,0,0,0,0,0,0,이디야커피
HOT 초콜릿,370,346,0,30,0,8,0,0,152,0,0,0,0,0,0,이디야커피
(EX)ICED 초콜릿,630,459,0,44,0,11,0,0,185,0,0,0,0,0,0,이디야커피
(EX)HOT 초콜릿,630,564,0,52,0,17,0,0,281,0,0,0,0,0,0,이디야커피
ICED 화이트 초콜릿,400,321,0,31,0,5,0,0,137,0,0,0,0,0,0,이디야커피
HOT 화이트 초콜릿,370,345,0,33,0,7,0,0,168,0,0,0,0,0,0,이디야커피
ICED 녹차 라떼,400,188,0,24,0,6,0,0,87,0,0,0,0,0,0,이디야커피
HOT 녹차 라떼,370,238,0,28,0,8,0,0,127,0,0,0,0,0,0,이디야커피
(EX)IXED 녹차 라떼,630,341,0,45,0,10,0,0,148,0,0,0,0,0,0,이디야커피
(EX)HOT 녹차 라떼,630,466,0,54,0,16,0,0,248,0,0,0,0,0,0,이디야커피
ICED 민트 초콜릿,400,346,0,29,0,7,0,0,133,0,0,0,0,0,0,이디야커피
HOT 민트 초콜릿,370,371,0,32,0,9,0,0,164,0,0,0,0,0,0,이디야커피
ICED 이곡 라떼,400,235,0,24,0,9,0,0,92,0,0,0,0,0,0,이디야커피
HOT 이곡 라떼,370,279,0,28,0,11,0,0,127,0,0,0,0,0,0,이디야커피
ICED 토피 넛 라떼,400,254,0,21,0,6,0,0,173,0,0,0,0,0,0,이디야커피
HOT 토피 넛 라떼,370,308,0,25,0,8,0,0,215,0,0,0,0,0,0,이디야커피
(EX)IXCED 토피 넛 라떼,630,398,0,32,0,10,0,0,274,0,0,0,0,0,0,이디야커피
(EX)HOT 토피 넛 라떼,630,523,0,41,0,16,0,0,374,0,0,0,0,0,0,이디야커피
ICED 고구마 라떼,400,425,0,34,0,7,0,0,103,0,0,0,0,0,0,이디야커피
HOT 고구마 라떼,370,325,0,34,0,7,0,0,103,0,0,0,0,0,0,이디야커피
홍시주스,400,238,0,57,0,1,0,0,27,0,0,0,0,0,0,이디야커피
골드키위주스,400,241,0,56,0,1,0,0,23,0,0,0,0,0,0,이디야커피
딸기주스,400,260,0,59,0,2,0,0,4,0,0,0,0,0,0,이디야커피
아이스티 복숭아,400,185,0,44,0,0,0,0,9,0,0,0,0,0,0,이디야커피
(EX)아이스티 복숭아,630,370,0,87,0,0,0,0,18,0,0,0,0,0,0,이디야커피
아이스티 레몬,400,178,0,43,0,0,0,0,16,0,0,0,0,0,0,이디야커피
(EX)아이스티 레몬,630,356,0,86,0,0,0,0,32,0,0,0,0,0,0,이디야커피
ICED 어린잎 녹차(작설차),400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
HOT 어린잎 녹차(작설차),370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
ICED 얼그레이 홍차(블랙티),400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
HOT 얼그레이 홍차(블랙티),370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
ICED 로즈 자스민 티,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
HOT 로즈자스민티,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
ICED 캐모마일레드티,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
HOT 캐모마일레드티,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
ICED 페퍼민트티,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
HOT 페퍼민트티,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이디야커피
ICED 밀크티,400,138,0,14,0,5,0,0,91,0,0,0,0,0,0,이디야커피
HOT 밀크티,370,173,0,17,0,7,0,0,118,0,0,0,0,0,0,이디야커피
유자차,370,187,0,42,0,0,0,0,2,0,0,0,0,0,0,이디야커피
레몬차,370,218,0,44,0,0,0,0,1,0,0,0,0,0,0,이디야커피
자몽차,370,186,0,42,0,0,0,0,2,0,0,0,0,0,0,이디야커피
커피 플랫치노,400,181,0,26,0,2,0,0,116,0,0,0,0,0,0,이디야커피
망고 플랫치노,400,256,0,59,0,0,0,0,16,0,0,0,0,0,0,이디야커피
모카 플랫치노,400,220,0,32,0,2,0,0,121,0,0,0,0,0,0,이디야커피
카라멜 플랫치노,400,358,0,41,0,2,0,0,189,0,0,0,0,0,0,이디야커피
자몽 플랫치노,400,150,0,35,0,1,0,0,13,0,0,0,0,0,0,이디야커피
그린 애플 플랫치노,400,223,0,49,0,0,0,0,27,0,0,0,0,0,0,이디야커피
녹차 플랫치노,400,287,0,28,0,4,0,0,84,0,0,0,0,0,0,이디야커피
초코렛 칩 플랫치노,400,410,0,43,0,7,0,0,141,0,0,0,0,0,0,이디야커피
민트 초코렛 칩 플랫치노,400,497,0,51,0,6,0,0,118,0,0,0,0,0,0,이디야커피
플레인 요거트 플랫치노,400,227,0,31,0,7,0,0,78,0,0,0,0,0,0,이디야커피
블루베리 요거트 플랫치노,400,298,0,46,0,7,0,0,82,0,0,0,0,0,0,이디야커피
딸기 요거트 플랫치노,400,322,0,53,0,7,0,0,84,0,0,0,0,0,0,이디야커피
오리진 쉐이크,400,535,0,42,0,8,0,0,208,0,0,0,0,0,0,이디야커피
초코 쿠키쉐이크,400,613,0,46,0,9,0,0,304,0,0,0,0,0,0,이디야커피
딸기 쉐이크,400,650,0,64,0,9,0,0,215,0,0,0,0,0,0,이디야커피
(EX) 레몬에이드,630,188,0,44,0,0,0,0,8,0,0,0,0,0,0,이디야커피
레몬에이드,400,117,0,27,0,0,0,0,5,0,0,0,0,0,0,이디야커피
자몽에이드,400,124,0,29,0,1,0,0,13,0,0,0,0,0,0,이디야커피
(EX) 자몽에이드,630,199,0,46,0,1,0,0,19,0,0,0,0,0,0,이디야커피
청포도에이드,400,131,0,30,0,0,0,0,3,0,0,0,0,0,0,이디야커피
(EX) 청포도에이드,630,197,0,45,0,0,0,0,5,0,0,0,0,0,0,이디야커피
라임에이드,400,134,0,29,0,0,0,0,2,0,0,0,0,0,0,이디야커피
(EX) 라임에이드,630,201,0,44,0,0,0,0,3,0,0,0,0,0,0,이디야커피
더블에스프레소,60,22,0,0,0,1,0,0,0,0,0,0,0,0,0,빽다방
앗!메리카노(HOT),420,14,0,0,0,0,0,0,4,0,0,0,0,0,0,빽다방
앗!메리카노(ICED),625,13,0,0,0,0,0,0,4,0,0,0,0,0,0,빽다방
원조커피(HOT),375,410,0,46,0,3,0,0,39,0,0,0,0,0,0,빽다방
원조커피(ICED),625,393,0,42,0,2,0,0,39,0,0,0,0,0,0,빽다방
달달연유라떼(HOT),225,240,0,33,0,8,0,0,70,0,0,0,0,0,0,빽다방
달달연유라떼(ICED),400,285,0,32,0,9,0,0,84,0,0,0,0,0,0,빽다방
빽’s 라떼(HOT),300,253,0,9,0,8,0,0,69,0,0,0,0,0,0,빽다방
빽’s 라떼(ICED),625,198,0,10,0,10,0,0,81,0,0,0,0,0,0,빽다방
블랙펄카페라떼,425,349,0,13,0,5,0,0,68,0,0,0,0,0,0,빽다방
바닐라라떼(HOT),325,351,0,35,0,9,0,0,136,0,0,0,0,0,0,빽다방
바닐라라떼(ICED),600,433,0,38,0,9,0,0,144,0,0,0,0,0,0,빽다방
카페모카(HOT),350,319,0,32,0,13,0,0,144,0,0,0,0,0,0,빽다방
카페모카(ICED),625,365,0,36,0,13,0,0,146,0,0,0,0,0,0,빽다방
카라멜마키아또(HOT),350,354,0,40,0,8,0,0,137,0,0,0,0,0,0,빽다방
카라멜마키아또(ICED),625,382,0,43,0,9,0,0,148,0,0,0,0,0,0,빽다방
크리미모카라떼(HOT),325,440,0,41,0,8,0,0,103,0,0,0,0,0,0,빽다방
크리미모카라떼(ICED),625,612,0,49,0,10,0,0,119,0,0,0,0,0,0,빽다방
완전초코(HOT),325,342,0,45,0,9,0,0,108,0,0,0,0,0,0,빽다방
완전초코(ICED),625,389,0,56,0,10,0,0,126,0,0,0,0,0,0,빽다방
녹차라떼(HOT),325,351,0,51,0,10,0,0,78,0,0,0,0,0,0,빽다방
녹차라떼(ICED),550,327,0,33,0,9,0,0,65,0,0,0,0,0,0,빽다방
민트초코라떼(HOT),325,413,0,58,0,11,0,0,187,0,0,0,0,0,0,빽다방
민트초코라떼(ICED),700,498,0,43,0,13,0,0,210,0,0,0,0,0,0,빽다방
토피넛라떼(HOT),350,411,0,19,0,8,0,0,174,0,0,0,0,0,0,빽다방
토피넛라떼(ICED),650,469,0,16,0,8,0,0,197,0,0,0,0,0,0,빽다방
밀크티(HOT),375,313,0,35,0,9,0,0,70,0,0,0,0,0,0,빽다방
밀크티(ICED),625,353,0,37,0,9,0,0,77,0,0,0,0,0,0,빽다방
블랙펄라떼,400,282,0,11,0,5,0,0,64,0,0,0,0,0,0,빽다방
블랙펄밀크티,0,365,0,5,0,3,0,0,36,0,0,0,0,0,0,빽다방
깔라만시티,300,244,0,57,0,0,0,0,71,0,0,0,0,0,0,빽다방
레몬티,400,272,0,66,0,0,0,0,60,0,0,0,0,0,0,빽다방
레모네이드,625,246,0,60,0,0,0,0,55,0,0,0,0,0,0,빽다방
자몽티,400,281,0,66,0,1,0,0,15,0,0,0,0,0,0,빽다방
청포도플라워,550,220,0,52,0,0,0,0,6,0,0,0,0,0,0,빽다방
청포도에이드,600,234,0,56,0,0,0,0,8,0,0,0,0,0,0,빽다방
깔라만시에이드,600,215,0,50,0,1,0,0,81,0,0,0,0,0,0,빽다방
자몽에이드,625,258,0,61,0,1,0,0,16,0,0,0,0,0,0,빽다방
완전파인애플,625,192,0,32,0,1,0,0,5,0,0,0,0,0,0,빽다방
완전망고,625,241,0,37,0,2,0,0,7,0,0,0,0,0,0,빽다방
플레인요거트스무디,600,494,0,94,0,7,0,0,77,0,0,0,0,0,0,빽다방
딸기요거트스무디,625,448,0,45,0,8,0,0,109,0,0,0,0,0,0,빽다방
노말한소프트,225,333,0,20,0,4,0,0,70,0,0,0,0,0,0,빽다방
완전딸기바나나(BASIC),625,502,0,53,0,7,0,0,114,0,0,0,0,0,0,빽다방
완전딸기바나나(SOFT),765,709,0,66,0,9,0,0,158,0,0,0,0,0,0,빽다방
완전초코바나나(BASIC),625,577,0,34,0,10,0,0,105,0,0,0,0,0,0,빽다방
완전초코바나나(SOFT),765,784,0,47,0,12,0,0,148,0,0,0,0,0,0,빽다방
피스타치오빽스치노(BASIC),625,535,0,12,0,8,0,0,329,0,0,0,0,0,0,빽다방
피스타치오빽스치노(SOFT),765,742,0,24,0,10,0,0,373,0,0,0,0,0,0,빽다방
녹차빽스치노(BASIC),625,487,0,32,0,9,0,0,120,0,0,0,0,0,0,빽다방
녹차빽스치노(SOFT),765,694,0,45,0,12,0,0,163,0,0,0,0,0,0,빽다방
원조빽스치노(BASIC),625,593,0,72,0,9,0,0,103,0,0,0,0,0,0,빽다방
원조빽스치노(SOFT),765,800,0,85,0,12,0,0,147,0,0,0,0,0,0,빽다방
민트초코 빽스치노(BASIC),625,602,0,28,0,12,0,0,244,0,0,0,0,0,0,빽다방
민트초코 빽스치노(SOFT),965,809,0,40,0,15,0,0,287,0,0,0,0,0,0,빽다방
프리미엄 블렌드 딥라떼 HOT,354,141,0,9,0,7,0,0,100,0,0,0,0,0,0,할리스커피
프리미엄 블렌드 딥라떼 ICED,354,109,0,7,0,5,0,0,75,0,0,0,0,0,0,할리스커피
인절미 크림라떼 HOT,354,496,0,49,0,11,0,0,191,0,0,0,0,0,0,할리스커피
인절미 크림라떼 ICED,354,408,0,43,0,7,0,0,124,0,0,0,0,0,0,할리스커피
리스트레또 딜라이트 HOT,354,303,0,31,0,12,0,0,199,0,0,0,0,0,0,할리스커피
리스트레또 딜라이트 ICED,354,237,0,24,0,7,0,0,121,0,0,0,0,0,0,할리스커피
티라미스 크림라떼 ICED,354,283,0,14,0,5,0,0,123,0,0,0,0,0,0,할리스커피
밀크티 크림라떼 ICED,354,257,0,18,0,5,0,0,84,0,0,0,0,0,0,할리스커피
그린티 크림라떼 ICED,354,258,0,17,0,5,0,0,83,0,0,0,0,0,0,할리스커피
스위트 크림라떼 ICED,354,222,0,10,0,5,0,0,82,0,0,0,0,0,0,할리스커피
콜드브루 라떼 ICED,354,125,0,8,0,5,0,0,85,0,0,0,0,0,0,할리스커피
콜드브루,354,15,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
아포가토,150,183,0,12,0,4,0,0,36,0,0,0,0,0,0,할리스커피
리얼 벨지안 카페모카,354,508,0,35,0,11,0,0,100,0,0,0,0,0,0,할리스커피
바닐라딜라이트 HOT,354,321,0,29,0,10,0,0,220,0,0,0,0,0,0,할리스커피
바닐라딜라이트 ICED,354,245,0,24,0,6,0,0,161,0,0,0,0,0,0,할리스커피
카라멜 마키아또 HOT,354,246,0,24,0,8,0,0,136,0,0,0,0,0,0,할리스커피
카라멜 마키아또 ICED,354,174,0,20,0,5,0,0,81,0,0,0,0,0,0,할리스커피
카페모카 HOT,354,332,0,29,0,9,0,0,142,0,0,0,0,0,0,할리스커피
카페모카 ICED,354,287,0,30,0,6,0,0,92,0,0,0,0,0,0,할리스커피
카푸치노 HOT,354,160,0,10,0,7,0,0,115,0,0,0,0,0,0,할리스커피
카페라떼 HOT,354,180,0,12,0,8,0,0,130,0,0,0,0,0,0,할리스커피
카페라떼 ICED,354,103,0,6,0,5,0,0,72,0,0,0,0,0,0,할리스커피
아메리카노 HOT,354,11,0,0,0,1,0,0,0,0,0,0,0,0,0,할리스커피
아메리카노 ICED,354,11,0,0,0,1,0,0,0,0,0,0,0,0,0,할리스커피
에스프레소 마키아또 HOT,25,12,0,0,0,1,0,0,5,0,0,0,0,0,0,할리스커피
에스프레소 꼰빠냐 HOT,25,61,0,1,0,1,0,0,9,0,0,0,0,0,0,할리스커피
에스프레소 HOT,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
우리 사과ㆍ히비스커스 HOT,354,140,0,33,0,0,0,0,13,0,0,0,0,0,0,할리스커피
우리 사과ㆍ히비스커스 ICED,354,140,0,33,0,0,0,0,13,0,0,0,0,0,0,할리스커피
우리 사과ㆍ레몬차 HOT,354,208,0,49,0,0,0,0,20,0,0,0,0,0,0,할리스커피
우리 사과ㆍ레몬차 ICED,354,208,0,49,0,0,0,0,20,0,0,0,0,0,0,할리스커피
천도복숭아 라떼 ICED,354,264,0,47,0,5,0,0,80,0,0,0,0,0,0,할리스커피
유자 캐모마일 HOT,354,188,0,34,0,0,0,0,14,0,0,0,0,0,0,할리스커피
유자 캐모마일 ICED,354,188,0,34,0,0,0,0,14,0,0,0,0,0,0,할리스커피
복숭아 얼그레이 HOT,354,102,0,25,0,0,0,0,3,0,0,0,0,0,0,할리스커피
복숭아 얼그레이 ICED,354,102,0,25,0,0,0,0,3,0,0,0,0,0,0,할리스커피
고구마라떼 HOT,354,438,0,32,0,8,0,0,132,0,0,0,0,0,0,할리스커피
고구마라떼 ICED,354,319,0,23,0,6,0,0,93,0,0,0,0,0,0,할리스커피
히비스커스블렌드 HOT,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
히비스커스블렌드 ICED,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
피치우롱 HOT,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
피치우롱 ICED,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
페퍼민트 HOT,354,2,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
페퍼민트 ICED,354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
캐모마일 HOT,354,3,0,0,0,0,0,0,3,0,0,0,0,0,0,할리스커피
캐모마일 ICED,354,1,0,0,0,0,0,0,2,0,0,0,0,0,0,할리스커피
얼그레이 HOT,354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
얼그레이 ICED,354,2,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
해남 녹차 HOT,354,4,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
해남 녹차 ICED,354,2,0,0,0,0,0,0,0,0,0,0,0,0,0,할리스커피
홍자몽차 HOT,354,113,0,17,0,0,0,0,19,0,0,0,0,0,0,할리스커피
홍자몽차 ICED,354,113,0,17,0,0,0,0,19,0,0,0,0,0,0,할리스커피
스퀴즈레몬차 HOT,354,195,0,35,0,0,0,0,19,0,0,0,0,0,0,할리스커피
스퀴즈레몬차 ICED,354,195,0,35,0,0,0,0,19,0,0,0,0,0,0,할리스커피
고흥 유자차 HOT,354,282,0,51,0,0,0,0,21,0,0,0,0,0,0,할리스커피
고흥 유자차 ICED,354,282,0,51,0,0,0,0,21,0,0,0,0,0,0,할리스커피
제주 한라봉 감귤차 HOT,354,203,0,44,0,1,0,0,5,0,0,0,0,0,0,할리스커피
제주 한라봉 감귤차 ICED,354,203,0,44,0,1,0,0,5,0,0,0,0,0,0,할리스커피
밀크티라떼 HOT,354,256,0,31,0,9,0,0,142,0,0,0,0,0,0,할리스커피
밀크티라떼 ICED,354,197,0,26,0,6,0,0,96,0,0,0,0,0,0,할리스커피
그린티라떼 HOT,354,258,0,30,0,9,0,0,139,0,0,0,0,0,0,할리스커피
