곡류 및 곡물,채소,과일,육류,어패류,유제품,조미료,견과류,스프류,기타
순살햄구이,,,,,,,,,
오코노미크로켓,,,,,,,,,
단호박튀김,,,,,,,,,
제육깻잎불고기,,,,,,,,,
베이비슈,,,,,,,,,
비엔나케찹볶음,,,,,,,,,
열무김치,,,,,,,,,
크림치즈단팥도넛,,,,,,,,,
양념소떡순,,,,,,,,,
멸치마늘쫑볶음,,,,,,,,,
갈릭스틱,,,,,,,,,
포테이토피자&갈릭소스,,,,,,,,,
후레쉬햄구이,,,,,,,,,
콘치즈닭갈비,,,,,,,,,
통모짜렐라핫도그,,,,,,,,,
유자단무지,,,,,,,,,
마라찜닭&중화당면,,,,,,,,,
기장밥,,,,,,,,,
마늘건빵,,,,,,,,,
참치마요덮밥,,,,,,,,,
주꾸미돼지고기볶음,,,,,,,,,
치즈스틱,,,,,,,,,
고추장불고기,,,,,,,,,
무짠지무침,,,,,,,,,
대패목살볶음,,,,,,,,,
전주식물갈비,,,,,,,,,
고깃집볶음밥,,,,,,,,,
깻잎&쌈무,,,,,,,,,
베이컨스크램블에그,,,,,,,,,
단호박부꾸미,,,,,,,,,
제육김치볶음,,,,,,,,,
팔미어파이,,,,,,,,,
사골우거지국,,,,,,,,,
비엔나칠리볶음,,,,,,,,,
닭가슴살유부쌈,,,,,,,,,
패스츄리페퍼로니피자,,,,,,,,,
고등어무조림,,,,,,,,,
새우버섯죽,,,,,,,,,
모듬빵3종,,,,,,,,,
파채,,,,,,,,,
열무나물,,,,,,,,,
새우칩,,,,,,,,,
흑임자와플,,,,,,,,,
멜론,,,,,,,,,
상추겉절이,,,,,,,,,
된장찌개,,,,,,,,,
새우튀김하이라이스,,,,,,,,,
오이피클,,,,,,,,,
갈릭데리야끼치킨강정,,,,,,,,,
플레인요거트,,,,,,,,,
물만둣국,,,,,,,,,
대파불고기,,,,,,,,,
새송이버섯볶음,,,,,,,,,
청포묵무침,,,,,,,,,
토마토,,,,,,,,,
고르곤졸라또띠아피자,,,,,,,,,
메밀소바,,,,,,,,,
사과,,,,,,,,,
콩조림,,,,,,,,,
단호박죽,,,,,,,,,
소시지오므라이스,,,,,,,,,
군만두,,,,,,,,,
꽃빵,,,,,,,,,
후라이드치킨&치폴레소스,,,,,,,,,
두부구이&양념장,,,,,,,,,
초코팔미어파이,,,,,,,,,
삼겹김치볶음밥,,,,,,,,,
무화과연근조림,,,,,,,,,
맑은콩나물국,,,,,,,,,
스모크햄전&케찹,,,,,,,,,
도토리묵야채무침,,,,,,,,,
베이컨오코노미야끼,,,,,,,,,
야채죽,,,,,,,,,
꼬맹이만둣국,,,,,,,,,
적채절임,,,,,,,,,
꼬지어묵국,,,,,,,,,
전복죽,,,,,,,,,
견과류멸치볶음,,,,,,,,,
소고기볶음밥&계란후라이,,,,,,,,,
고구마맛탕,,,,,,,,,
파닭,,,,,,,,,
삶은계란,,,,,,,,,
양파피클,,,,,,,,,
콘튀김,,,,,,,,,
파김치,,,,,,,,,
전주식콩나물해장국,,,,,,,,,
소고기무국,,,,,,,,,
동그랑땡전,,,,,,,,,
모듬감자튀김&갈릭소스,,,,,,,,,
바람떡,,,,,,,,,
큐브함박,,,,,,,,,
새우까스&콘소스,,,,,,,,,
새송이섭산적,,,,,,,,,
미역초무침,,,,,,,,,
왕포도알청포도아이스크림,,,,,,,,,
감자수제비국,,,,,,,,,
떡볶이,,,,,,,,,
무짠지채,,,,,,,,,
바지락칼국수,,,,,,,,,
오리엔탈부추무침,,,,,,,,,
유부된장국,,,,,,,,,
난자완스,,,,,,,,,
제육콩나물볶음,,,,,,,,,
오돈불고기,,,,,,,,,
얼갈이국,,,,,,,,,
찰떡갈비,,,,,,,,,
피자카츠&만두카츠,,,,,,,,,
순두부찌개,,,,,,,,,
햄짜글이,,,,,,,,,
육전&파채,,,,,,,,,
돌나물&초장,,,,,,,,,
햄전&케찹,,,,,,,,,
스크램블에그,,,,,,,,,
찐감자,,,,,,,,,
제육강정,,,,,,,,,
숙주나물,,,,,,,,,
찐파게티,,,,,,,,,
생선까스,,,,,,,,,
통살새우링,,,,,,,,,
가자미구이,,,,,,,,,
쇠고기무국,,,,,,,,,
