20231003
오이양파무침
감귤쥬스
파인애플쥬스
견과류샐러드
계란후라이
기장밥
불닭소스팽이버섯구이
탕수육
마제덮밥
샤인머스캣쥬스
코코볼
배추겉절이
복숭아아이스티
에그타르트
과일샐러드
꿀떡
짜장밥
꽈리고추어묵조림
불낙전골
치즈스틱
웨지감자튀김
멜론
참치김치찌개
20231007
돈까스
진미채볶음
블루베리쥬스
후르츠링
옥수수수염차
미니고기완자조림
해물떡찜
20231008
블루베리샐러드
망고
시나몬토스트크런치
콤비네이션피자
누룽지
유부된장국
잡채
모듬카츠
북어계란국
굴소스맛살볶음
티라미수
미역초무침
단무지
미역국
에그마요샐러드
연어까스
포크볼조림
해쉬브라운
갈치시즈닝구이
사과쥬스
함박스테이크
플레인요거트
실곤약야채무침
콩나물국
단호박부꾸미
파인애플청크
쌀밥
찐옥수수
치킨무
딸기우유
통마늘소시지구이
안동찜닭
푸실리케찹볶음
고추참치볶음
떡국
곤드레밥
고등어무조림
잡곡밥
맑은우동국
오색산적
왕교자만두
양상추샐러드
연근땅콩조림
소고기무국
대패삼겹필라프
현미밥
흑향미밥
순두부찌개
포기김치
포도
부추겉절이
로제누들떡볶이
케찹
황도
보리밥
두부면샐러드
군만두
초코첵스
게살계란국
야채탕
오미자쥬스
소시지오므라이스
수수밥
블루베리요거트
식혜
20231006
모짜렐라샐러드
팔미어파이
20231004
올방개묵무침
포도쥬스
초장
유부섞음초밥
깍두기
제육두루치기
토마토
건파래볶음
감자채볶음
흑임자깨죽
초코크런치
사과호두샐러드
연두부
후라이드치킨
양념장
단팥죽
양파간장피클
바나나
들깨시래기국
청경채겉절이
사과
콘앤스위트
맛살겨자무침
우유
모듬빵잼
오렌지
단호박죽
20231009
