음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
계적,250,488.084,0,0,30.429,57.721,23.669,461.165,210.112,548.384,57.45,0,2.85,169.207,0.237
낙지꼬지,80,75.354,2.828,0,1.276,13.14,18.765,149.12,207.067,142.567,38.3,0,2.87,133.747,0.008
돔베기적,100,159.486,0,0.004,7.417,30.077,8.379,246.947,451.247,369.138,35.27,0,0.48,64.23,0.032
소고기산적,200,453.075,7.331,0,25.568,48.41,21.376,349.371,1392.835,480.407,47.6,0,11.02,134.832,0.873
소라산적,80,120.1,6.451,0.85,2.512,17.922,97.429,146.185,396.676,182.197,233.31,0,5.22,100.344,0.015
오징어산적,80,101.709,3.603,0.916,1.977,17.375,16.09,238.901,477.106,233.848,48.56,0,1.34,234.248,0.001
홍어적,100,89.153,0,0.283,0.66,23.592,177.76,239.412,323.528,232.024,30.52,0,0.58,96.773,0.001
홍합산적,80,156.665,10.576,3.338,4.804,17.782,49.754,276.259,719.722,162.679,66.84,0,2.62,60.715,0.043
가자미전,150,230.282,6.915,0.305,11.065,25.76,346.849,371.103,819.365,340.265,45.54,0,1.27,176.272,0.055
고추전,150,274.689,17.01,2.17,17.223,12.91,66.181,166.471,362.205,311.135,31.1,0,1.27,78.812,0.093
굴전,100,195,14.5,1.3,10.5,10.6,36.24,160.08,325.7,194.56,32.61,0,8.35,96.88,0.1
깻잎전,150,361.099,14.543,1.061,25.776,17.736,110.189,233.986,480.149,321.514,41.75,0,1.86,131.796,0.145
녹두빈대떡,100,207.942,20.934,0.101,10.27,7.945,21.133,126.174,232.047,265.316,35.86,0,0.84,12.484,0.063
동그랑땡(육원전),150,309.2,12.681,0.979,20.001,19.618,98.398,246.297,553.087,344.291,41.2,0,1.95,103.265,0.117
동태전,150,268.045,10.536,0.218,15.04,22.636,48.398,420.79,702.157,260.926,31.83,0,1.07,178.76,0.089
두부전,150,254.643,7.499,0.025,15.868,20.458,253.752,302.832,317.153,244.286,100.43,0,1.95,3.279,0.039
미나리전,150,226.413,34.227,1.74,7.617,5.239,32.537,69.25,248.704,198.682,19.09,0,0.33,11.885,0.053
배추전,150,240.746,35.515,5.02,8.669,5.166,48.031,78.188,326.826,181.783,21.99,0,0.45,7.235,0.077
버섯전,150,240.687,16.194,2.739,14.868,10.524,41.912,204.075,313.757,384.44,27.56,0,1.56,100.1,0.062
야채전,100,194,21.6,2.4,9.5,5.4,28.29,86.92,321.52,179.17,15.94,0,0.66,43.15,0.1
파전,150,292.799,34.807,0.787,14.026,6.834,46.971,101.903,345.962,189.674,19.49,0,0.43,46.141,0.068
